Name,Email Address,Mobile / WhatsApp,Role,City,Language,Region,Country,Facilitator(s),Group Name,Registered Through,WhatsApp Group Status,Initiation Status,Culmination Status,Notes,Registered By
Rohit Gupta,rohit.gupta97@hotmail.com,7768296064,Sadhak,Kuwait City,Telugu,Non India,USA,Sunita Patel,Sydney Group,Email,No,No,Pending,Confirmed,Volunteer
Sanjay Shah,sanjay.shah919@outlook.com,6173626785,Facliators,Riyadh,Telugu,Non India,Sri Lanka,Ashwin Verma,Chennai Group,YouTube,No,No,No,Follow up,Volunteer
Ojas Shetty,ojas.shetty262@rediffmail.com,8849664206,Facliators,New York,Hindi,Non India,Germany,Ashwin Verma,Delhi Group,WhatsApp,Pending,No,Yes,,Volunteer
Vishal Joshi,vishal.joshi126@hotmail.com,7722699191,Facliators,Thane,English,India,India,Meena Joshi,Kolkata Group,Telegram,Yes,Pending,Yes,Awaiting response,Self
Mohan Shastri,mohan.shastri30@hotmail.com,6224362263,Sadhak,Paris,English,Non India,Netherlands,Priya Sharma,Coimbatore Group,Referral,No,Pending,Pending,Awaiting response,Facilitator
Manish Rao,manish.rao627@gmail.com,9810800135,Facliators,Faridabad,English,India,India,Mohan Gupta,Delhi Group,Email,Yes,Yes,Yes,Follow up,Admin1
Shruti Menon,shruti.menon549@outlook.com,7438252468,Facliators,Muscat,English,Non India,Bahrain,Ashwin Verma,London Group,Facebook,Pending,Pending,No,,Volunteer
Uma Venkatesh,uma.venkatesh611@outlook.com,8872046706,Sadhak,Ranchi,Malayalam,India,India,Karthik Menon,Lucknow Group,Instagram,No,No,No,Confirmed,Admin1
Jatin Kulkarni,jatin.kulkarni336@rediffmail.com,6893061021,Sadhak,Chandigarh,Gujarati,India,India,Ganesh Shetty,USA Group,Word of Mouth,Pending,Yes,Pending,,Self
Faisal Bose,faisal.bose220@gmail.com,7064012986,Facliators,Kota,Malayalam,India,India,Ashwin Verma,Bangalore Group,Email,Yes,Yes,No,Follow up,Coordinator
Hema Gupta,hema.gupta744@outlook.com,8681344437,Sadhak,Aurangabad,Kannada,India,India,Lakshmi Krishnan,USA Group,Referral,No,Pending,Yes,Regular attendee,Admin1
Hemant Shah,hemant.shah70@rediffmail.com,9481481948,Facliators,Dubai,Gujarati,Non India,Saudi Arabia,Deepa Nair,Hyderabad Group,Email,Yes,Yes,Yes,,Admin2
Ravi Murthy,ravi.murthy649@hotmail.com,8629708217,Sadhak,Indore,Kannada,India,India,Lakshmi Krishnan,Delhi Group,Referral,Pending,Pending,Pending,Follow up,Volunteer
Naveen Ghosh,naveen.ghosh632@rediffmail.com,8201746125,Sadhak,Aurangabad,Bengali,India,India,Lakshmi Krishnan,Hyderabad Group,Instagram,Pending,No,Yes,New member,Volunteer
Vani Shah,vani.shah703@hotmail.com,9290545003,Facliators,Sharjah,Tamil,Non India,Oman,Ravi Kumar,Nagpur Group,YouTube,Yes,Pending,Yes,,Coordinator
Hiren Mishra,hiren.mishra976@hotmail.com,6088484925,Sadhak,Dubai,Telugu,Non India,Bahrain,Pooja Mehta,Toronto Group,Referral,Yes,Pending,Yes,,RasPay
Parvati Kulkarni,parvati.kulkarni489@rediffmail.com,8263171793,Sadhak,Vasai,Telugu,India,India,Suresh Pillai,Malaysia Group,Referral,Pending,Pending,Yes,Confirmed,Admin2
Jayesh Pillai,jayesh.pillai264@gmail.com,8887557821,Facliators,Chandigarh,Telugu,India,India,Sunita Patel,Mysore Group,Instagram,Yes,No,Yes,Inactive,System
Rohit Krishnan,rohit.krishnan295@gmail.com,8394106213,Facliators,Melbourne,Telugu,Non India,UK,Ashwin Verma,Toronto Group,Email,Pending,No,No,Active,Admin1
Ritu Singh,ritu.singh22@gmail.com,7964652948,Facliators,Dubai,Hindi,Non India,New Zealand,Kavya Iyer,Bangalore Group,Referral,Pending,Pending,No,Confirmed,System
Amit Shetty,amit.shetty823@rediffmail.com,8468922240,Facliators,Toronto,Gujarati,Non India,Canada,Naveen Rao,Dubai Group,Referral,No,Yes,Yes,Interested,Coordinator
Suresh Shetty,suresh.shetty354@yahoo.com,8026009527,Facliators,London,Gujarati,Non India,Sri Lanka,Radha Sharma,Dubai Group,WhatsApp,Pending,Yes,Yes,,Self
Ramesh Sharma,ramesh.sharma132@outlook.com,7347553800,Sadhak,Frankfurt,Hindi,Non India,Canada,Naveen Rao,Bangalore Group,Website,Yes,Yes,Yes,Active,Volunteer
Manoj Nair,manoj.nair538@hotmail.com,8302309432,Facliators,Auckland,Telugu,Non India,USA,Kavya Iyer,Ahmedabad Group,Email,No,Pending,Yes,Awaiting response,System
Ravi Menon,ravi.menon239@outlook.com,7517229543,Sadhak,Colombo,Telugu,Non India,New Zealand,Arjun Singh,Ahmedabad Group,YouTube,Yes,Yes,No,Interested,System
Sagar Mehta,sagar.mehta123@outlook.com,8125009120,Facliators,Ludhiana,Malayalam,India,India,Arjun Singh,Nagpur Group,Telegram,Pending,Yes,Pending,,Self
Geeta Yadav,geeta.yadav699@outlook.com,6677855525,Sadhak,Dhanbad,Bengali,India,India,Arjun Singh,Dubai Group,Telegram,Pending,Yes,No,,Facilitator
Ramesh Murthy,ramesh.murthy366@yahoo.com,8692731373,Facliators,Doha,Malayalam,Non India,Bahrain,Arjun Singh,London Group,Telegram,No,Pending,Yes,,Self
Manish Hegde,manish.hegde663@gmail.com,7455017354,Sadhak,Doha,Malayalam,Non India,Singapore,Mohan Gupta,Lucknow Group,Word of Mouth,No,No,No,New member,Volunteer
Darshan Dey,darshan.dey17@rediffmail.com,8769693761,Sadhak,Bhopal,Kannada,India,India,Meena Joshi,London Group,Word of Mouth,Yes,Yes,Pending,Follow up,RasPay
Hema Dey,hema.dey662@yahoo.com,9076230056,Sadhak,Kanpur,Marathi,India,India,Deepa Nair,Lucknow Group,Email,Pending,Yes,No,,Admin2
Shiva Rao,shiva.rao219@outlook.com,8378747289,Sadhak,Mumbai,Kannada,India,India,Lakshmi Krishnan,Jaipur Group,Instagram,Yes,Pending,No,Regular attendee,Facilitator
Jatin Agarwal,jatin.agarwal777@outlook.com,8677238413,Facliators,Chicago,Tamil,Non India,UK,Mohan Gupta,Lucknow Group,Twitter,Yes,Yes,Pending,,Volunteer
Irfan Joshi,irfan.joshi286@hotmail.com,9109987653,Facliators,Dhanbad,Telugu,India,India,Swati Shah,Chennai Group,Telegram,No,No,No,Confirmed,Facilitator
Ketan Chakraborty,ketan.chakraborty34@yahoo.com,7339886750,Facliators,Muscat,Telugu,Non India,Bahrain,Ganesh Shetty,Chennai Group,Twitter,Pending,Yes,Yes,,Admin2
Yogesh Naik,yogesh.naik657@yahoo.com,9764579390,Sadhak,Nagpur,Assamese,India,India,Deepa Nair,Lucknow Group,Facebook,Yes,No,Yes,,Coordinator
Ananya Joshi,ananya.joshi404@yahoo.com,8479912578,Sadhak,Chandigarh,Odia,India,India,Lakshmi Krishnan,Mysore Group,WhatsApp,Pending,No,Pending,Needs reminder,System
Rohit Dubey,rohit.dubey993@rediffmail.com,9832115586,Facliators,Faridabad,Assamese,India,India,Deepa Nair,Mumbai Group,WhatsApp,Yes,No,No,Active,Self
Faisal Nair,faisal.nair686@rediffmail.com,7587425375,Facliators,Riyadh,Tamil,Non India,Saudi Arabia,Anand Rao,Nagpur Group,Referral,Pending,Pending,Yes,,Facilitator
Arjun Rao,arjun.rao689@rediffmail.com,6167978973,Facliators,Sharjah,Telugu,Non India,Kuwait,Ganesh Shetty,Chennai Group,Website,No,Pending,No,Awaiting response,System
Ganesh Oberoi,ganesh.oberoi973@outlook.com,7480785341,Facliators,Paris,Tamil,Non India,New Zealand,Meena Joshi,USA Group,Website,Pending,No,Yes,,Coordinator
Lalit Mukherjee,lalit.mukherjee291@outlook.com,6870509138,Facliators,Kathmandu,Hindi,Non India,USA,Naveen Rao,Nagpur Group,Telegram,Pending,Yes,No,Confirmed,Admin2
Kavya Dey,kavya.dey215@yahoo.com,6768920349,Sadhak,Visakhapatnam,Assamese,India,India,Pooja Mehta,Singapore Group,Instagram,No,Yes,No,,Coordinator
Priya Nair,priya.nair621@hotmail.com,7988836501,Facliators,Doha,Tamil,Non India,Nepal,Ashwin Verma,Toronto Group,Telegram,Yes,Yes,No,Needs reminder,Volunteer
Aarav Chatterjee,aarav.chatterjee665@outlook.com,6939334137,Sadhak,Colombo,English,Non India,Singapore,Ganesh Shetty,Singapore Group,Referral,No,No,Yes,,RasPay
Uma Murthy,uma.murthy504@hotmail.com,7482690677,Facliators,Raipur,English,India,India,Deepa Nair,Dubai Group,Referral,Pending,No,No,Follow up,Facilitator
Suresh Dey,suresh.dey359@hotmail.com,9851710120,Sadhak,Jabalpur,Kannada,India,India,Ashwin Verma,Sydney Group,Facebook,Pending,Pending,No,New member,Admin2
